model_id,header_size,length_field_offset,length_width,endianness,length_convention_set,fixed_adjustment_range,alignment_model,models_represented,stream_consumed_pct,invalid_spans,frames_parsed,median_frame_size,global_score,confidence,reason
fm03410,16,8,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1114,128,83.781,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03411,16,8,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1114,128,83.781,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03414,16,8,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1114,128,83.781,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03415,16,8,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1114,128,83.781,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03409,16,8,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_1,231,1.0,2,1115,128,83.769,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03412,16,8,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_8,231,0.9998,4,1114,128,83.769,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03413,16,8,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_1,231,1.0,2,1115,128,83.769,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03416,16,8,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_8,231,0.9998,4,1114,128,83.769,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03610,16,15,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1114,128,83.763,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03611,16,15,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1114,128,83.763,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03614,16,15,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1114,128,83.763,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03615,16,15,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1114,128,83.763,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03218,16,2,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1114,128,83.762,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03219,16,2,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1114,128,83.762,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03222,16,2,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1114,128,83.762,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03223,16,2,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1114,128,83.762,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03612,16,15,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_8,231,0.9998,4,1114,128,83.752,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03616,16,15,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_8,231,0.9998,4,1114,128,83.752,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03217,16,2,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_1,231,1.0,2,1115,128,83.751,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03221,16,2,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_1,231,1.0,2,1115,128,83.751,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03220,16,2,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_8,231,0.9998,4,1114,128,83.75,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03224,16,2,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_8,231,0.9998,4,1114,128,83.75,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03609,16,15,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_1,231,0.9999,2,1115,128,83.745,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03613,16,15,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_1,231,0.9999,2,1115,128,83.745,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03154,16,0,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1114,128,83.739,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03155,16,0,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1114,128,83.739,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03158,16,0,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1114,128,83.739,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03159,16,0,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1114,128,83.739,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03594,16,14,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1104,131,83.736,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03595,16,14,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1104,131,83.736,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03598,16,14,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1104,131,83.736,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03599,16,14,1,big,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_4,231,0.9999,3,1104,131,83.736,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
fm03442,16,9,1,little,total|body|minus_header|adjusted|bytes|u16_units|includes_field,-16..16,continuous_step_2,231,0.9999,6,1113,128,83.728,medium,compact row represents complete convention/adjustment subgrid; scored against world S2C stream without writing bytes
